site_name,vacancy_name,vacancy_link,vacancy_city,employer,employer_hh_link,min_salary,max_salary
HeadHunter (hh.ru),"Юрист, Юрисконсульт",https://hh.ru/vacancy/38734324?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Центр Регион,https://hh.ru/employer/2960697,60000.0,80000.0
HeadHunter (hh.ru),Юрисконсульт Отдела правового сопровождения судебной работы,https://hh.ru/vacancy/38765215?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, Государственная корпорация Агентство по страхованию вкладов,https://hh.ru/employer/36277,,
HeadHunter (hh.ru),Младший юрист,https://hh.ru/vacancy/39001295?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, GoldenSIM,https://hh.ru/employer/3558766,40000.0,
HeadHunter (hh.ru),Юрист/Юрист-консультант,https://hh.ru/vacancy/38592910?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, АЯКС,https://hh.ru/employer/103572,60000.0,80000.0
HeadHunter (hh.ru),Старший юрист,https://hh.ru/vacancy/38981593?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, UP business,https://hh.ru/employer/1551312,90000.0,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/38846584?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Славинвестстрой,https://hh.ru/employer/2907758,70000.0,80000.0
HeadHunter (hh.ru),Ведущий юрисконсульт,https://hh.ru/vacancy/38995001?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Джи Эф Си,https://hh.ru/employer/598439,,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/39048774?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,"Нек. орг. Российский университет дружбы народов, ФГАОУ ВО",https://hh.ru/employer/589473,40000.0,
HeadHunter (hh.ru),Юрисконсульт по договорной работе,https://hh.ru/vacancy/38797575?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Меркор-ПРУФ,https://hh.ru/employer/766785,50000.0,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/38455739?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва," Ренессанс Кредит, Москва",https://hh.ru/employer/5923?dpt=rns-5923-RKMo,,
HeadHunter (hh.ru),Помощник юриста,https://hh.ru/vacancy/38454934?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Закон и Право,https://hh.ru/employer/4674097,60000.0,100000.0
HeadHunter (hh.ru),Юрисконсульт (информационное право/ интеллектуальная собственность),https://hh.ru/vacancy/39039022?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,АО Альта Виа,https://hh.ru/employer/1344997,70000.0,
HeadHunter (hh.ru),Главный юрист по банкротству / юрисконсульт по сопровождению банкротства,https://hh.ru/vacancy/35757372?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Дело,https://hh.ru/employer/1610407,100000.0,100000.0
HeadHunter (hh.ru),Помощник юрисконсульта,https://hh.ru/vacancy/38965644?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО МЮ,https://hh.ru/employer/4494245,40000.0,65000.0
HeadHunter (hh.ru),Младший юрисконсульт/Юрисконсульт,https://hh.ru/vacancy/38783103?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, ТРИАЛ,https://hh.ru/employer/942778,40000.0,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/38966351?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, ООО «ЛСР»,https://hh.ru/employer/3344?dpt=LCR-3344-uprk,70000.0,80000.0
HeadHunter (hh.ru),Главный юрисконсульт,https://hh.ru/vacancy/38960487?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО УМА Кэпитал,https://hh.ru/employer/189882,80000.0,
HeadHunter (hh.ru),Юрист (юрисконсульт/специалист договорного отдела),https://hh.ru/vacancy/38869311?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Смарт Инжиниринг,https://hh.ru/employer/2932269,,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/38672345?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва," Адвокатское бюро Тихонова, Теплякова и партнеры (город Москва)",https://hh.ru/employer/3918873,70000.0,100000.0
HeadHunter (hh.ru),Ведущий юрисконсульт,https://hh.ru/vacancy/39045344?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, ГБУЗ Центр паллиативной помощи ДЗМ,https://hh.ru/employer/3059571,80000.0,
HeadHunter (hh.ru),Ведущий юрист,https://hh.ru/vacancy/39018691?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Лемикс,https://hh.ru/employer/3093789,75000.0,
